Category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3W,0,0,0,0,0,0,0,16,276,241
2W,26,31,14,2,0,0,0,0,0,0
3W,0,0,36,7,0,0,0,0,0,0
3W,0,0,0,5,52,106,350,1114,2035,1399
3W,0,0,1,0,0,0,0,0,0,0
2W,13,3,2,0,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,0,0,272
2W,0,0,1,0,0,0,0,0,0,0
3W,0,0,1,0,0,0,0,0,0,0
4W,0,6,6,2,1,0,0,0,0,0
3W,0,0,0,0,0,0,0,9,96,73
2W,0,0,0,0,0,38,78,98,19,6
3W,0,0,0,0,0,0,0,0,65,14
2W,1,0,0,0,0,0,0,0,0,0
2W,0,0,0,0,0,0,0,627,2154,668
2W,0,0,0,0,0,0,0,32,51,13
3W,0,0,0,17,6,8,50,82,80,30
3W,0,0,0,1,1,0,0,0,0,0
3W,0,248,43,0,10,0,0,6,7,0
3W,0,95,2652,2921,2314,1260,3075,6947,11165,6278
3W,0,0,2,3,1,0,0,0,0,0
3W,0,0,0,69,74,53,67,20,113,24
3W,0,0,43,6,0,0,0,0,0,0
4W,0,0,0,0,0,0,27,40,9,4
4W,1,0,0,0,0,0,0,0,0,0
4W,0,0,0,0,0,0,0,1,0,0
3W,0,0,0,0,0,0,0,0,165,108
3W,0,0,0,157,414,249,180,636,163,61
4W,0,0,0,0,0,0,0,1,0,0
3W,0,0,0,39,80,28,33,64,143,58
4W,0,0,0,0,0,0,0,0,0,1
3W,0,0,0,0,0,0,176,224,600,287
3W,0,0,8,0,0,0,0,0,0,0
3W,0,0,131,779,633,660,224,396,950,770
3W,0,0,0,0,0,0,0,0,38,2
4W,1,0,0,0,0,0,0,0,0,0
3W,0,36,88,26,2,1,0,0,0,0
4W,0,1,0,0,0,0,0,0,0,0
3W,0,3,23,0,0,0,0,0,0,0
4W,1,0,0,0,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,0,0,5
3W,0,0,0,55,248,95,42,23,6,0
4W,0,0,0,0,19,42,49,0,0,0
3W,0,0,0,0,0,0,0,0,0,5
3W,0,0,37,9,0,0,0,0,0,0
4W,0,0,1,0,0,0,0,0,0,0
2W,0,0,0,0,0,0,0,0,0,1
3W,0,0,0,3,0,0,0,0,0,0
3W,0,0,0,174,362,43,84,155,208,101
2W,0,0,0,0,0,0,0,0,8,40
2W,0,0,0,0,0,0,0,31,454,13
2W,0,0,0,0,0,0,0,0,11,4
2W,0,0,0,0,0,0,0,0,20,7
2W,0,0,0,0,0,0,0,0,2,0
2W,0,0,0,0,0,0,0,0,22,24
2W,0,0,0,0,0,0,0,0,50,10
2W,0,0,0,0,0,0,0,0,1,0
2W,0,0,0,0,0,0,0,0,31,10
2W,0,0,0,0,0,0,0,0,0,7
3W,0,0,0,0,0,0,0,0,10,16
2W,0,0,0,0,0,0,0,1,10,2
2W,0,0,0,0,0,0,0,12,3,2
2W,0,0,0,0,0,0,2,41,85,11
2W,0,0,0,0,0,0,0,496,799,121
3W,0,137,442,471,184,6,0,0,0,0
3W,0,0,0,3,37,3,0,0,0,0
2W,0,0,0,0,46,454,1967,9553,2617,687
3W,0,0,0,1,2,32,75,66,34,5
4W,0,0,0,3,1,0,0,0,0,0
3W,0,0,0,0,34,89,601,680,740,348
3W,0,0,0,0,0,0,0,0,1077,1383
4W,0,1,3,2,0,0,0,0,0,0
3W,0,0,0,0,0,1,5,3,14,3
3W,0,0,146,283,208,43,115,306,950,678
3W,0,0,0,0,5,0,0,0,0,0
2W,0,0,0,0,0,0,0,9,52,37
2W,0,0,0,0,0,0,0,37,212,102
2W,0,0,0,0,0,0,0,0,0,52
